expense_id,created_at,group_id,created_by_user_id,description,total_amount,split_method,attachment_id,status,deleted_at,is_active,is_app_fee,category
1,2025-11-19 20:34:28.211412+00,9,18,nen trein,1000,equal,,pending,,false,false,
3,2025-11-19 21:08:42.989636+00,9,18,nog nen trein,50,equal,,pending,,false,false,
4,2025-11-19 21:08:54.227223+00,9,18,nen bak bier,100,equal,,pending,,false,false,
5,2025-11-19 21:09:11.361388+00,9,18,nog nen bak bier,10,equal,,pending,,false,false,
6,2025-11-19 21:11:38.362066+00,10,18,nen eifeltoren,2500,equal,,pending,,true,false,
8,2025-11-19 22:08:38.750404+00,9,18,nen eifeltoren,200,equal,,pending,,false,false,
9,2025-11-24 23:15:28.138502+00,9,18,nen bak bier,10,equal,,pending,,false,false,
10,2025-11-25 09:59:01.421527+00,12,18,App fee,2,equal,,pending,,true,false,
11,2025-11-25 12:59:03.686328+00,15,18,App fee,2,equal,,pending,,true,true,
12,2025-11-26 00:08:00.279264+00,9,18,tester,130,equal,,pending,,false,false,
13,2025-11-26 00:28:56.675897+00,9,18,nen bak bier,17,equal,,pending,,false,false,
14,2025-11-26 09:57:47.24686+00,9,14,Cadeautje omdat je zo goed bezig bent,150,equal,,pending,,true,false,
15,2025-11-26 10:22:10.494996+00,13,18,App fee,2,equal,,pending,,true,false,
16,2025-11-26 10:30:36.82361+00,9,18,Vliegtickets,1000,equal,,pending,,false,false,
17,2025-11-26 10:33:35.827758+00,9,18,Restaurant op zaterdagavond,80,equal,,pending,,false,false,
18,2025-11-26 13:41:48.9411+00,9,18,nen trein,10,equal,,pending,,false,false,
19,2025-11-26 22:49:45.913003+00,9,18,voetbalticket,20,equal,,pending,,false,false,other
20,2025-11-26 23:06:35.070266+00,9,18,baseballmatch,20,equal,,pending,,false,false,activities
21,2025-11-26 23:25:14.249701+00,12,18,baseballmatch,20,equal,,pending,,true,false,activities
22,2025-11-26 23:31:59.311101+00,12,18,hockeymatch,20,equal,,pending,,true,false,activities
23,2025-11-26 23:55:55.328159+00,12,18,golfmatch,20,equal,,pending,,true,false,activities
24,2025-11-27 00:17:45.746251+00,12,18,pingpongmatch,20,equal,,pending,,true,false,other
25,2025-11-27 00:24:13.718358+00,12,18,volleybalmatch,20,equal,,pending,,true,false,other
26,2025-11-27 00:36:26.190143+00,12,18,zwemwedstrijd,20,equal,,pending,,true,false,other
27,2025-11-27 00:42:17.804977+00,12,18,zwemwedstrijd,20,equal,,pending,,true,false,other
28,2025-11-27 00:52:23.248948+00,12,18,zwemwedstrijd,20,equal,,pending,,true,false,other
29,2025-11-27 00:58:39.518989+00,12,18,zwemwedstrijd,20,equal,,pending,,true,false,other
30,2025-11-27 07:35:35.68965+00,12,18,pizza,20,equal,,pending,,true,false,activities
31,2025-11-27 09:07:52.145756+00,12,18,pizza,20,equal,,pending,,true,false,food
